applicationId,totalMonthlyIncome,totalCommitments,debtServiceRatio,newDebtServiceRatio,savingsAmount,cashReserveMonths,ctosScore,creditScoreCategory,totalCreditUtilization,numberOfLatePayments,employmentTenureMonths,employmentStabilityScore,loanAmount,instalmentToIncomeRatio,approvalDecision
LA-2026-000128,2520.41,505.1,0.167,0.313,14953.67,15.8,309,0,0.57,4,12,0.2,25259.39,0.146,0
LA-2026-000129,3343.86,3033.29,0.736,1.405,13127.72,2.3,581,1,0.3,1,10,0.17,32153.11,0.668,0
LA-2026-000130,2792.03,2661.65,0.799,0.99,6850.33,2.1,551,1,0.66,0,12,0.2,20420.26,0.192,0
LA-2026-000131,1962.35,1749.7,0.706,4.006,69769.17,7.0,436,0,0.25,0,9,0.15,95051.33,3.301,0
LA-2026-000132,7092.11,3741.37,0.432,0.901,35266.9,4.5,779,3,0.21,0,107,1.0,90439.3,0.469,1
LA-2026-000133,2095.93,1516.37,0.569,1.591,9298.4,2.2,644,1,0.53,0,16,0.27,31985.21,1.022,0
LA-2026-000134,6957.75,696.91,0.095,0.147,4845.49,4.5,693,2,0.62,1,30,0.5,25891.18,0.052,1
LA-2026-000135,1380.72,822.37,0.479,0.695,14977.65,12.6,396,0,0.7,1,8,0.13,22028.71,0.216,0
LA-2026-000136,1434.53,2591.79,1.4,2.453,57757.24,12.7,459,0,0.11,0,10,0.17,97143.48,1.053,0
LA-2026-000137,2181.3,4340.71,1.599,1.917,20384.52,3.9,563,1,0.2,2,7,0.12,42391.92,0.319,0
LA-2026-000138,1842.7,3048.74,1.318,1.491,6933.72,2.0,497,0,0.52,0,10,0.17,25383.49,0.174,0
LA-2026-000139,3393.71,3179.41,0.775,0.918,18725.57,5.0,563,1,0.59,2,10,0.17,38620.68,0.143,0
LA-2026-000140,6613.4,3038.98,0.371,0.406,13090.57,3.9,806,3,0.38,0,75,1.0,19373.43,0.035,1
LA-2026-000141,2628.5,1350.3,0.472,0.835,47619.54,19.9,543,0,0.14,2,7,0.12,72745.62,0.363,0
LA-2026-000142,2070.33,2319.15,0.921,1.398,3545.64,1.0,543,0,0.46,5,11,0.18,13940.61,0.477,0
LA-2026-000143,2881.3,1199.12,0.313,1.341,70618.96,13.8,561,1,0.49,5,7,0.12,88715.88,1.027,0
LA-2026-000144,2838.2,2536.67,0.907,1.202,12841.37,3.8,563,1,0.22,5,8,0.13,50834.6,0.295,0
LA-2026-000145,6932.97,1965.05,0.237,0.256,1771.85,0.8,800,3,0.35,0,56,0.93,5240.94,0.019,1
LA-2026-000146,5579.2,2781.94,0.395,0.515,24329.99,6.7,739,2,0.47,0,39,0.65,34767.86,0.12,0
LA-2026-000147,9233.9,1770.71,0.162,0.293,59591.29,18.7,741,2,0.26,0,90,1.0,91534.06,0.13,1
LA-2026-000148,3404.68,3905.51,1.232,3.717,73267.51,6.2,613,1,0.7,0,18,0.3,92773.76,2.486,0
LA-2026-000149,2244.16,1757.23,0.857,1.601,27987.94,8.5,388,0,0.61,1,5,0.08,81777.45,0.744,0
LA-2026-000150,2052.29,1757.78,0.763,0.971,7406.31,3.3,312,0,0.23,5,10,0.17,10891.07,0.208,0
LA-2026-000151,2140.86,649.93,0.25,1.224,25123.27,7.9,458,0,0.59,5,12,0.2,83770.07,0.974,0
LA-2026-000152,2818.79,2059.86,0.577,1.044,67629.46,18.1,647,1,0.14,0,14,0.23,99224.85,0.467,0
LA-2026-000153,2596.34,1214.24,0.375,0.84,41393.24,15.2,525,0,0.68,5,1,0.02,86575.38,0.465,0
LA-2026-000154,4990.55,4391.06,1.004,1.221,17283.18,3.2,648,1,0.35,2,17,0.28,66581.55,0.216,0
LA-2026-000155,12238.91,4505.05,0.313,0.407,48835.09,8.3,791,3,0.2,0,87,1.0,71231.23,0.094,1
LA-2026-000156,3060.84,1905.47,0.528,0.646,22201.02,9.5,577,1,0.14,3,12,0.2,30954.72,0.118,0
LA-2026-000157,2851.19,2639.85,1.028,2.098,58758.96,10.9,607,1,0.66,0,14,0.23,93677.64,1.07,0
LA-2026-000158,2710.28,1495.94,0.463,0.851,12246.9,4.5,437,0,0.5,1,9,0.15,84092.88,0.388,0
LA-2026-000159,2084.42,2353.36,0.911,1.149,8684.73,2.9,539,0,0.14,3,12,0.2,44955.11,0.238,0
LA-2026-000160,3863.1,3878.23,0.821,1.07,41846.48,8.3,608,1,0.24,2,7,0.12,84640.33,0.249,0
LA-2026-000161,1952.25,194.35,0.105,1.481,30379.74,11.1,528,0,0.39,5,3,0.05,56349.58,1.376,0
LA-2026-000162,4835.8,1588.47,0.268,0.308,6386.84,3.5,716,2,0.58,0,18,0.3,12688.24,0.04,1
LA-2026-000163,3012.52,888.86,0.24,0.388,9953.2,6.9,626,1,0.53,0,6,0.1,35203.24,0.148,0
LA-2026-000164,10388.02,2586.58,0.216,0.346,23080.58,5.6,830,3,0.44,0,63,1.0,34600.51,0.13,1
LA-2026-000165,4501.09,3745.67,0.645,0.793,45194.3,9.8,688,2,0.44,0,25,0.42,60548.92,0.148,0
LA-2026-000166,10978.13,3102.72,0.28,0.398,18752.18,4.2,835,3,0.47,0,52,0.87,43191.44,0.118,1
LA-2026-000167,2027.49,1402.11,0.587,1.641,48754.15,12.4,457,0,0.45,3,12,0.2,83023.73,1.054,0
LA-2026-000168,8777.62,2468.25,0.233,0.383,11114.71,2.7,788,3,0.33,0,25,0.42,78751.43,0.149,1
LA-2026-000169,2841.61,1148.65,0.373,0.595,15503.03,8.5,360,0,0.4,0,1,0.02,29455.6,0.222,1
LA-2026-000170,2453.79,1200.77,0.472,0.765,18654.14,9.6,459,0,0.15,0,11,0.18,25302.9,0.293,1
LA-2026-000171,1668.56,2367.25,1.083,1.785,12761.44,3.3,330,0,0.58,0,12,0.2,34734.51,0.702,0
LA-2026-000172,4224.19,3641.04,0.653,0.825,29634.07,6.4,670,2,0.42,2,28,0.47,50347.89,0.172,1
LA-2026-000173,2721.04,3210.9,0.952,1.365,8011.62,1.7,305,0,0.5,4,3,0.05,16103.18,0.413,0
LA-2026-000174,11510.18,2085.36,0.142,0.209,14442.15,4.7,722,2,0.63,0,82,1.0,33444.89,0.067,1
LA-2026-000175,2409.13,4038.85,1.39,1.689,21249.45,4.3,560,1,0.37,3,14,0.23,63998.74,0.298,0
LA-2026-000176,11650.79,1203.19,0.087,0.275,30229.06,7.9,782,3,0.69,0,66,1.0,88061.9,0.189,1
LA-2026-000177,12809.56,3097.06,0.249,0.723,3060.89,0.3,834,3,0.61,0,83,1.0,68120.09,0.474,1
LA-2026-000178,5555.88,2891.0,0.412,0.453,1417.57,0.4,737,2,0.31,0,94,1.0,9299.34,0.041,1
LA-2026-000179,1709.28,4688.76,2.545,2.777,5031.04,1.0,451,0,0.63,0,11,0.18,13720.92,0.232,0
LA-2026-000180,3379.19,181.08,0.041,0.188,3325.47,4.0,713,2,0.53,0,18,0.3,14228.83,0.147,1
LA-2026-000181,2637.68,2040.39,0.628,1.061,37154.37,10.8,460,0,0.55,1,2,0.03,95683.79,0.433,0
LA-2026-000182,3480.34,1037.76,0.23,0.318,6644.33,4.6,638,1,0.21,0,7,0.12,12481.84,0.087,0
LA-2026-000183,9227.04,2900.85,0.325,0.581,3509.1,0.7,790,3,0.22,0,116,1.0,52287.99,0.256,1
LA-2026-000184,2813.09,483.34,0.182,0.825,20909.48,9.6,581,1,0.3,0,12,0.2,74929.79,0.643,0
LA-2026-000185,1828.76,1113.32,0.493,0.976,41826.07,19.0,457,0,0.68,1,12,0.2,70042.04,0.484,0
LA-2026-000186,2223.72,3413.22,1.25,1.611,22754.63,5.2,434,0,0.63,0,11,0.18,32256.05,0.361,0
LA-2026-000187,2445.07,2166.24,0.691,1.193,7108.63,1.9,391,0,0.63,4,9,0.15,94331.99,0.502,0
LA-2026-000188,6786.47,2706.06,0.374,0.768,41911.34,7.5,718,2,0.16,0,24,0.4,63667.28,0.394,0
LA-2026-000189,4792.1,1805.06,0.301,0.349,6900.27,3.3,650,2,0.68,0,31,0.52,19454.46,0.048,1
LA-2026-000190,2281.65,789.63,0.276,3.016,12245.81,1.4,434,0,0.19,1,11,0.18,90852.24,2.74,0
LA-2026-000191,6528.75,1607.25,0.203,0.254,4465.49,2.2,703,2,0.15,0,23,0.38,9057.38,0.05,1
LA-2026-000192,7828.21,374.55,0.038,0.302,31398.31,10.5,743,2,0.54,0,96,1.0,85992.95,0.264,1
LA-2026-000193,9862.39,452.13,0.037,0.159,8904.13,4.6,761,3,0.68,0,64,1.0,73294.74,0.122,1
LA-2026-000194,5256.32,3494.62,0.67,0.917,11616.41,2.4,704,2,0.16,0,35,0.58,68719.25,0.247,1
LA-2026-000195,8618.42,2293.21,0.263,0.339,13957.86,4.7,788,3,0.62,0,36,0.6,22157.31,0.075,1
LA-2026-000196,2409.75,3230.13,1.099,1.28,6780.66,1.8,518,0,0.18,0,7,0.12,30406.97,0.181,0
LA-2026-000197,3279.15,454.17,0.113,0.82,65011.57,19.8,558,1,0.44,5,13,0.22,94524.22,0.706,1
LA-2026-000198,3522.87,3539.04,0.827,1.347,22301.39,3.9,705,2,0.11,0,29,0.48,94094.53,0.52,1
LA-2026-000199,7667.86,291.57,0.031,0.233,13869.1,6.4,818,3,0.17,0,58,0.97,21700.63,0.202,1
LA-2026-000200,2374.95,544.45,0.206,0.516,41157.7,30.1,483,0,0.69,0,6,0.1,52446.02,0.311,0
LA-2026-000201,3118.42,2385.05,0.611,2.015,13460.92,1.7,646,1,0.23,0,7,0.12,63405.23,1.404,0
LA-2026-000202,12868.24,3124.32,0.238,0.623,9461.68,1.2,778,3,0.18,0,24,0.4,58828.4,0.385,1
LA-2026-000203,1768.61,2143.35,1.001,1.689,36637.73,10.1,512,0,0.45,2,10,0.17,85598.14,0.689,0
LA-2026-000204,3228.6,2657.21,0.835,1.158,5305.19,1.4,428,0,0.65,0,1,0.02,42881.82,0.323,0
LA-2026-000205,4159.66,4475.4,0.902,1.192,57605.45,9.7,642,1,0.55,2,15,0.25,81829.11,0.291,0
LA-2026-000206,2294.02,427.14,0.145,0.408,19672.79,16.3,524,0,0.22,0,6,0.1,46713.63,0.264,1
LA-2026-000207,5378.14,1520.52,0.312,0.686,15771.77,4.7,562,1,0.19,0,8,0.13,79001.05,0.374,0
LA-2026-000208,12043.02,641.61,0.044,0.172,35548.35,14.1,835,3,0.27,0,54,0.9,60046.14,0.129,1
LA-2026-000209,5592.6,1941.29,0.29,1.505,56258.84,5.6,687,2,0.36,1,14,0.23,94152.97,1.215,0
LA-2026-000210,4952.72,2817.97,0.44,0.594,11101.3,2.9,652,2,0.44,0,17,0.28,22499.11,0.154,0
LA-2026-000211,5763.0,682.09,0.094,0.238,24418.75,14.1,821,3,0.66,0,115,1.0,65641.86,0.144,1
LA-2026-000212,9874.98,2914.41,0.236,0.49,39696.95,6.6,785,3,0.4,0,51,0.85,70943.31,0.254,0
LA-2026-000213,2940.57,2415.74,0.648,1.762,20855.4,3.2,619,1,0.17,2,13,0.22,47857.56,1.114,0
LA-2026-000214,2595.43,782.61,0.288,0.965,42393.64,16.1,500,0,0.33,4,3,0.05,77490.43,0.678,0
LA-2026-000215,2978.08,3074.79,0.848,0.89,7414.91,2.3,589,1,0.37,0,17,0.28,10037.06,0.043,0
LA-2026-000216,3032.01,669.19,0.244,1.255,23622.69,6.9,567,1,0.39,3,17,0.28,62222.21,1.011,0
LA-2026-000217,4496.56,1962.28,0.332,0.464,39638.65,14.4,703,2,0.61,0,24,0.4,52104.68,0.132,0
LA-2026-000218,6394.85,1168.39,0.141,0.167,9686.71,7.0,823,3,0.34,0,81,1.0,14113.24,0.026,1
